affiliated_org,candidate_id,committee_id,committee_type,designation,name,org_type
NONE,H0FL12101,C00809608,H,P,DENNIS ROSS FOR CONGRESS,
INSURING OUR FUTURE,H0FL12101,C00459461,H,P,FRIENDS OF DENNIS ROSS,
NONE,H0FL17068,C00460055,H,P,FREDERICA S. WILSON FOR CONGRESS,
YOHO VICTORY FUND,H2FL06109,C00494583,H,P,TED YOHO FOR CONGRESS,
NONE,H2FL00292,C00511568,H,P,RON DESANTIS FOR FLORIDA,
NONE,H2FL22072,C00493825,N,U,PEM PAC,
RADEL VICTORY COMMIITTEE,H2FL14194,C00510768,H,P,FRIENDS OF TREY RADEL,
NONE,H2FL14053,C00494856,H,P,LOIS FRANKEL FOR CONGRESS,
,H2FL14053,C00252767,H,P,LOIS J FRANKEL FOR CONGRESS,
,H8FL25015,C00521781,H,P,JOE GARCIA FOR CONGRESS,
,H8FL25015,C00482158,H,A,JOE GARCIA FOR CONGRESS,
CHANGE SOUTH FLORIDA,H8FL25015,C00445114,H,A,JOE GARCIA FOR CONGRESS,
NONE,H2FL03056,C00272732,H,P,FRIENDS OF CORRINE BROWN,
NONE,H2FL08055,C00283051,H,P,MICA FOR CONGRESS,
,H2FL08055,C00269142,H,A,MICA FOR CONGRESS,
COMMITTED TO WIN PAC,H2FL23021,C00269837,H,P,HASTINGS FOR CONGRESS,
JOHN LEWIS HOUSE VICTORY FUND,H6GA05217,C00202416,H,P,JOHN LEWIS FOR CONGRESS,
NONE,H2GA13012,C00369801,H,P,DAVID SCOTT FOR CONGRESS,
NONE,H4GA06087,C00386755,N,U,PROJECTHEALTHSOLUTIONS PAC - PHSPAC,
ACTON PAC,H4GA08067,C00387126,N,U,LAW FUND,
,H4GA12010,C00384735,H,P,FRIENDS OF JOHN BARROW,
,H6GA04129,C00418293,H,P,COMMITTEE TO RE-ELECT HENRY HANK JOHNSON,
"AMERICA'S FUTURE, TOGETHER",H0GA09030,C00462556,N,U,GFC PAC,
GEORGIA VICTORY FUND,H0GA07133,C00482307,H,P,ROB WOODALL FOR CONGRESS,
AUSTIN SCOTT VICTORY FUND,H0GA08099,C00482737,H,P,AUSTIN SCOTT FOR CONGRESS INC,
COLLINS LEADERSHIP FUND,H2GA09150,C00502039,H,P,COLLINS FOR CONGRESS,
NONE,H2GA01157,C00261958,H,P,FRIENDS OF JACK KINGSTON,
SANFORD BISHOP CONGRESSIONAL FUND,H2GA02031,C00266940,H,P,SANFORD BISHOP FOR CONGRESS,
NONE,H2HI02110,C00468413,H,P,HANABUSA FOR HAWAII,
NONE,H2HI02110,C00421339,H,A,COLLEEN FOR CONGRESS,
,H2HI02110,C00382663,H,A,COLLEEN FOR CONGRESS,
ALOHA COMMITTEE,H2HI02508,C00497396,H,P,TULSI FOR HAWAI'I,
NONE,H0ID01253,C00470948,H,P,RAUL LABRADOR FOR IDAHO,
RISE PROJECT,H8ID02064,C00331397,H,P,SIMPSON FOR CONGRESS,
LIPINSKI VICTORY FUND,H4IL03077,C00405431,H,P,DAN LIPINSKI FOR CONGRESS,
ROSKAM VICTORY COMMITTEE,H6IL06117,C00410969,H,P,ROSKAM FOR CONGRESS COMMITTEE,
,H6IL06117,C00330043,H,P,ROSKAM FOR CONGRESS COMMITTEE,
DEMOCRACY DEFENDERS,H8IL14067,C00435099,H,P,BILL FOSTER FOR CONGRESS,
SCHOCK VICTORY COMMITTEE,H8IL18043,C00437756,H,P,SCHOCK FOR CONGRESS,
NONE,H0IL05096,C00457556,H,P,QUIGLEY FOR CONGRESS,
COUNTRY FIRST,H0IL11052,C00458877,N,U,COUNTRY OVER PARTY PAC,
REAGAN HERITAGE PAC,H0IL14080,C00467522,H,P,RANDY HULTGREN FOR CONGRESS,
TAMMY FOR ILLINOIS,H6IL06141,C00498634,H,P,DUCKWORTH FOR CONGRESS,
ILLINOIS VICTORY 2006,H6IL06141,C00418525,H,P,FRIENDS OF TAMMY DUCKWORTH,
SCHNEIDER VICTORY FUND,H2IL10068,C00495952,H,P,SCHNEIDER FOR CONGRESS,
,H2IL12122,C00523258,H,P,ENYART FOR CONGRESS,
RODNEY DAVIS VICTORY FUND,H2IL13120,C00521948,H,P,RODNEY FOR CONGRESS,
NONE,H2IL17071,C00498568,H,P,FRIENDS OF CHERI BUSTOS,
NONE,H2IL01042,C00257121,H,P,CITIZENS FOR RUSH,
,H2IL08039,C00254581,H,P,GUTIERREZ FOR CONGRESS,
NONE,H4IL07037,C00172619,H,P,DAVIS FOR CONGRESS/FRIENDS OF DAVIS,
NONE,H2IL20042,C00258855,H,P,VOLUNTEERS FOR SHIMKUS,
NONE,H8IL09067,C00327023,H,P,SCHAKOWSKY FOR CONGRESS,
NONE,H4IN01012,C00166504,H,P,VISCLOSKY FOR CONGRESS,
THE EMPOWERMENT FUND,H8IN07184,C00442921,H,P,ANDRE CARSON FOR CONGRESS,
BUCSHON VICTORY FUND,H0IN08114,C00468256,H,P,BUCSHON FOR CONGRESS,
TAKE BACK THE HOUSE 2020,H0IN02190,C00468579,H,P,WALORSKI FOR CONGRESS INC,
HEALTH FIRST COMMITTEE,H2IN05082,C00500207,H,P,FRIENDS OF SUSAN BROOKS,
,H0IN02125,C00349688,H,P,MESSER FOR CONGRESS,
NONE,H2IA05072,C00373563,H,P,KING FOR CONGRESS,
BRALEY BROWN VICTORY FUND,H6IA01098,C00409441,H,P,BRALEY FOR CONGRESS,
NONE,H6IA02146,C00414318,H,P,LOEBSACK FOR CONGRESS,
NONE,H4IA05102,C00287045,Q,U,PLAIN STATE PAC,
NONE,H8KS02090,C00433730,Q,U,LYNN PAC,
NONE,H6KS01146,C00413096,H,P,KANSANS FOR HUELSKAMP,
YODER VICTORY FUND,H0KS03137,C00472365,H,P,"YODER FOR CONGRESS, INC",
CHAMPION AMERICAN VALUES,H0KS04051,C00460402,N,U,KANSAS CAV PAC,
NONE,H0KY05015,C00116632,H,P,HAL ROGERS FOR CONGRESS,
NONE,H6KY03124,C00419630,H,P,YARMUTH FOR CONGRESS,
HEALTH FIRST COMMITTEE,H8KY02031,C00445023,H,P,GUTHRIE FOR CONGRESS,
