chamber,icpsr,district,state,party,name,congress_id,NOMINATE_dim1,NOMINATE_dim2
House,20924,3,MN,200,"PAULSEN, Erik",P000594,0.402,-0.191
House,29127,7,MN,100,"PETERSON, Collin Clark",P000258,-0.148,0.712
House,20925,3,MS,200,"HARPER, Gregg",H001045,0.384,0.48
House,21147,1,MS,200,"NUNNELEE, Alan",N000186,0.488,0.5740000000000001
House,21148,4,MS,200,"PALAZZO, Steven",P000601,0.535,0.45
House,29368,2,MS,100,"THOMPSON, Bennie",T000193,-0.517,0.395
House,20124,6,MO,200,"GRAVES, Samuel",G000546,0.438,0.20400000000000001
House,20147,1,MO,100,"CLAY, William Lacy, Jr.",C001049,-0.481,-0.078
House,20517,5,MO,100,"CLEAVER, Emanuel, II",C001061,-0.453,0.016
House,20926,3,MO,200,"LUETKEMEYER, Blaine",L000569,0.444,0.266
House,21149,4,MO,200,"HARTZLER, Vicky",H001053,0.47800000000000004,0.229
House,21150,7,MO,200,"LONG, Billy",L000576,0.544,0.244
House,21337,2,MO,200,"WAGNER, Ann",W000812,0.41600000000000004,0.189
House,29736,8,MO,200,"EMERSON, Jo Ann",E000172,0.269,0.274
House,21338,1,MT,200,"DAINES, Steve",D000618,0.585,-0.039
House,20518,1,NE,200,"FORTENBERRY, Jeff",F000449,0.304,-0.061
House,20729,3,NE,200,"SMITH, Adrian",S001172,0.515,0.226
House,29921,2,NE,200,"TERRY, Lee Raymond",T000459,0.426,-0.067
House,20927,1,NV,100,"TITUS, Alice (Dina)",T000468,-0.301,-0.201
House,21151,3,NV,200,"HECK, Joe",H001055,0.324,0.014
House,21196,2,NV,200,"AMODEI, Mark E.",A000369,0.384,0.201
House,21339,4,NV,100,"HORSFORD, Steven",H001066,-0.34700000000000003,0.124
House,20731,1,NH,100,"SHEA-PORTER, Carol",S001170,-0.315,-0.131
House,21340,2,NH,100,"KUSTER, Ann McLane",K000382,-0.26,-0.101
House,14863,4,NJ,200,"SMITH, Christopher Henry",S000522,0.17300000000000001,-0.163
House,15454,6,NJ,100,"PALLONE, Frank, Jr.",P000034,-0.405,-0.17300000000000001
House,20336,5,NJ,200,"GARRETT, Scott",G000548,0.6880000000000001,-0.243
House,20542,8,NJ,100,"SIRES, Albio",S001165,-0.404,0.098
House,20929,7,NJ,200,"LANCE, Leonard",L000567,0.329,-0.23700000000000002
House,21153,3,NJ,200,"RUNYAN, Jon",R000594,0.222,0.089
House,29132,1,NJ,100,"ANDREWS, Robert Ernest",A000210,-0.297,-0.11900000000000001
House,29539,2,NJ,200,"LoBIONDO, Frank A.",L000554,0.211,-0.224
House,29541,11,NJ,200,"FRELINGHUYSEN, Rodney P.",F000372,0.292,-0.262
House,29741,9,NJ,100,"PASCRELL, William J., Jr.",P000096,-0.368,-0.008
House,29923,12,NJ,100,"HOLT, Rush",H001032,-0.463,-0.33
House,31103,10,NJ,100,"PAYNE, Donald, Jr.",P000604,-0.521,-0.10200000000000001
House,20337,2,NM,200,"PEARCE, Stevan",P000588,0.47200000000000003,0.064
