icpsr,district,state,party,NOMINATE_dim1,NOMINATE_dim2,candidate_id,name,ici,ttl_receipts,comm_receipts,ttl_disb,comm_disb,start_cash,end_cash,cand_contrib,cand_loans,ind_contrib,district,state,other_comm_contrib,pty_contrib
21114,2,FL,200,0.56,0.063,H0FL02110,"southerland, william steve ii",I,1823957.33,41649.31,1722317.48,0.0,141.94,101781.79,21000.0,0.0,1025286.75,FL,2,648008.82,16900.0
21115,11,FL,200,0.483,0.077,H0FL05139,"nugent, richard b",I,600550.58,28093.53,560894.0,0.0,11655.59,51312.17,0.0,0.0,232166.44,FL,11,339704.41,0.0
21116,10,FL,200,0.527,-0.098,H0FL08208,"webster, daniel",I,1534724.86,14682.48,1498872.06,0.0,64989.56,100842.36,0.0,0.0,998086.49,FL,10,511423.01,10000.0
21117,15,FL,200,0.531,0.099,H0FL12101,"ross, dennis alan",I,883780.3,0.0,724608.21,133000.0,23213.74,182385.83,0.0,0.0,325556.19,FL,15,557224.11,0.0
21118,24,FL,100,-0.48,-0.011,H0FL17068,"wilson, frederica s",I,529492.5,0.0,558520.0,0.0,110736.0,81708.5,0.0,0.0,176395.95,FL,24,347250.0,5000.0
21317,3,FL,200,0.704,-0.365,H2FL06109,"yoho, theodore scott mr.",C,683946.72,0.0,611549.37,0.0,0.0,72397.35,15550.0,50000.0,449641.57,FL,3,167604.9,950.0
21318,6,FL,200,0.663,-0.105,H2FL00292,"desantis, ronald d",C,1155958.58,0.0,1127141.88,10000.0,0.0,28816.7,614.18,10100.0,901044.4,FL,6,236700.0,7500.0
21319,18,FL,100,-0.186,-0.026,H2FL22072,"murphy, patrick",C,4752053.86,208166.88,4480428.11,0.0,0.0,271625.75,66742.99,0.0,3927630.64,FL,18,493184.1,9902.1
21320,19,FL,200,0.702,-0.25,H2FL14194,"radel, henry j. iii",O,1068123.35,0.0,946371.36,0.0,0.0,121751.99,0.0,206000.0,656298.35,FL,19,205825.0,0.0
21321,22,FL,100,-0.402,-0.064,H2FL14053,"frankel, lois j.",C,3533915.3,101783.0,3490565.22,0.0,0.0,43350.08,10654.3,100000.0,2895962.94,FL,22,415796.78,4570.43
21322,26,FL,100,-0.204,0.032,H8FL25015,"garcia, joe",C,1395067.73,0.0,1162567.84,0.0,8246.87,240746.76,4053.13,0.0,1059011.45,FL,26,323803.15,500.0
29328,5,FL,100,-0.429,0.192,H2FL03056,"brown, corrine",I,615071.75,0.0,618190.36,0.0,4236.36,1117.75,0.0,7000.0,264202.55,FL,5,340500.0,0.0
29331,7,FL,200,0.453,0.137,H2FL08055,"mica, john l. mr.",I,2068330.84,0.0,2473672.27,0.0,553082.77,146741.34,0.0,0.0,966528.06,FL,7,1094247.55,0.0
29337,20,FL,100,-0.564,0.157,H2FL23021,"hastings, alcee l l",I,652962.59,0.0,558061.51,0.0,161204.83,256105.91,0.0,0.0,335093.47,FL,20,316819.83,0.0
15431,5,GA,100,-0.589,-0.221,H6GA05217,"lewis, john r.",I,1238406.06,0.0,1300095.24,0.0,268411.57,206722.39,0.0,0.0,457678.03,GA,5,769650.0,37.55
20319,11,GA,200,0.561,0.272,H2GA11149,"gingrey, j. phillip",I,1720190.35,2184.0,1140885.35,0.0,1292628.74,1871933.74,0.0,0.0,839453.0,GA,11,858850.0,0.0
20321,13,GA,100,-0.304,0.165,H2GA13012,"scott, david albert",I,976668.79,0.0,845674.93,0.0,53085.84,184079.7,0.0,1000.0,179155.0,GA,13,793800.42,0.0
